Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
FortySix Venture Capital,https://fortysixcapital.com/,"One Technology Center, 100 S. Cincinnati, Fl 5, Tulsa, OK 74103",usa,"2. Prototype,3. Early Revenue,4. Scaling","We invest in Energy Tech, Healthcare Tech and Digital Transformation companies in Oklahoma and the Heartland region.",VC,$250000,$1000000
Archangel Ventures,https://www.archangel.vc/,"27/209 Toorak Rd, South Yarra VIC 3141, Australia","australia,new zealand,singapore",3. Early Revenue,We invest in Australian and New Zealand pre-seed and seed stage companies.,VC,$20000,$500000
Vera Equity,https://veraequity.com/,"New York, NY",usa,"1. Idea or Patent,2. Prototype",We invest in North American fintech start-ups at the pre-seed and seed stages,VC,$150000,$1000000
Z2Sixty Ventures,https://www.z2sixtyventures.com,"Atlanta, GA",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in mission-driven founders and teams with world-changing ideas that are making a positive impact on society.  They are developing and utilizing key enabling technologies to build global businesses. In particular, we look for founders involved in the following areas:
Climate Tech: Building climate-smart infrastructure, electric transportation, and enabling energy transition
Ageing Society: Supporting and empowering an aging generation through technology
Fintech: Improving access to financial resources and education
Health Tech: Improving health, well-being and social connections  

Technology is at the heart of our investment focus in businesses seeking to make a positive impact.  In addition to the verticals mentioned above, we also look at hardware and software solutions that can be applied across industries.  

We invest in US-based companies typically at the pre-seed to Series A stage.

We use an ESG lens to identify both hidden gems and potential risks that may inhibit future growth and investment returns.  We believe positive ESG action will ultimately lead to higher financial returns.",VC,$100000,$500000
Olive Capital,https://olivecapital.vc,"1203 Geneva, Switzerland","france,switzerland,sweden,norway,uk,belgium,luxembourg","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in crypto and web3. 

Olive Capital is a media- and community-driven pre-seed fund, backing European companies accelerating the adoption of crypto & web3, driving change in the way we Create, Collaborate, Communicate.",VC,$100000,$150000
FutureSight,http://futuresight.ventures,"Toronto, Ontario","usa,canada",1. Idea or Patent,We invest in values driven founders focused on B2B software opportunities at the idea stage.,Startup studio,$100000,$400000
Goat Rodeo Capital,https://www.goatrodeocapital.com,"2030 Union Street, San Francisco, CA 94123",usa,"3. Early Revenue,4. Scaling,5. Growth","We invest in opportunities in the alcohol beverage, beverage, food, and adjacent technology industries.",VC,$250000,$2000000
Kaya Ventures,https://www.kaya.ventures/,"Boston, MA",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed companies expanding access to wellness within underserved markets. ,VC,$100000,$500000
Curate Capital,https://www.curate.capital/,"2220 Westcreek Lane, Houston, TX 77027",usa,"3. Early Revenue,4. Scaling","We invest in businesses by women for women. 

We are industry agnostic, but rather look for the best solutions being built for the female consumer. ",VC,$500000,$500000
Meyer Global Management,https://www.meyerglobalmgmt.com,"477 Madison Avenue, Floor 6, New York, NY 10022",usa,"6. Pre-IPO,5. Growth,4. Scaling","We invest in US-based B2B companies in the manufacturing, energy, transportation, communication and blockchain space with recurring revenues, addressing $1T+ markets, and are shifting towards a ""platform-as-a-service"" model",Family office,$100000,$500000
Aperture Venture Capital,https://aperturevc.com,"201 King of Prussia Rd, Suite 650, Radnor, PA 19035",usa,"2. Prototype,3. Early Revenue",We invest in seed stage startups with diverse founders building a more inclusive economy with financial innovation. ,VC,$500000,$1500000
ATP Fund,https://www.atpfund.com,"1108 Lavaca Street, Austin, TX 78701",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in deep science startups from underserved US markets focused on future of sustainable energy, health, and work.",VC,$250000,$1000000
Acrobator Ventures,https://acrobator.vc/,"Weesperplein 4A, 1018XA Amsterdam, the Netherlands ","armenia,estonia,lithuania,latvia,georgia,poland,usa,netherlands,ukraine",3. Early Revenue,We invest in Eastern Diaspora founders building international software companies on the cusp of international expansion at pre/seed stage.,VC,$150000,$2000000
Helicase Venture,https://www.helicaseventure.com/,"1 Beacon Street, 15th Floor, Boston, MA 02108",usa,"1. Idea or Patent,2. Prototype","We invest in healthcare. 

Our mission at Helicase Venture is to work with early-stage companies to unlock their potential and achieve breakthroughs in science that will have a meaningful impact on patient care. We do this by helping teams strategize and navigate through the developmental stages to bring these therapies to patients.
 
Our investments are done as team with each member bringing their domain expertise and we leverage our wide range of scientific networks and advisors to make a well-rounded decision.
",VC,$500000,$5000000
Variant,https://variant.fund/,"382 NE 191st St PMB 47003, Miami, Florida 33179-3899 US","usa,india,france","1. Idea or Patent,2. Prototype,4. Scaling,3. Early Revenue",We invest in pre-seed and seed crypto-native companies in the ownership economy.,VC,$250000,$7000000
PSV Tech01 (PreSeed Ventures),https://www.preseedventures.dk/,"Copenhagen, Denmark","denmark,sweden","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in software companies.

The fund specializes in software and technology-enabled business cases. We consider all verticals and business models equally, as long as they’re technology-driven and founded by brave people using software to make the world a better place.",VC,$100000,$1500000
Founderment,https://www.founderment.dk/,"Bülowsgade 68, Aarhus, Middle Jutland 8000, DK","denmark,germany,norway,sweden,uk","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage startups within Retail and Commerce tech

We want to be the first investor in a company and support them in the early phases of building their business.",VC,$200000,$600000
Propagator.co,https://propagator.co,"Nørre Voldgade 96, Copenhagen, Denmark ",denmark,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in scalable business models where founders want to grow as leaders to stay on top of their organization as it scales. ,"Incubator, Accelerator",$50000,$100000
The 81 Collection,https://www.81collection.com/,Chicago IL,usa,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in the 81% of the US GDP that is starved for innovation and entrepreneurs transforming boring trades, hard work, unpleasant spaces, and structural inequity at the Pre-Seed, Seed, and Series A stage.",VC,$200000,$1000000
Refashiond Ventures,https://www.refashiond.com/,"424 4th Street, Elmont, NY, 11003",usa,"3. Early Revenue,4. Scaling,2. Prototype","We invest in startups reinventing global, industrial supply chains through scalable networks, platforms, ecosystems, and information infrastructure; Defensible through economic moats. ",VC,$25000,$1000000
Triumph Culture Capital,https://tcc-partners.com,"16th Floor, 1111 West Georgia St., Vancouver, BC, Canada, V6E 4G2","canada,usa,china","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in global, creative/diverse pre-seed to series A, socially-conscious startups, and creative IP owners. We help in creating cultural relevance to produce attractive acquisitions in the media industry.",VC,$100000,$2500000
Realist Ventures,https://www.realistventures.com,"Stamford, CT",usa,"3. Early Revenue,4. Scaling,2. Prototype","We invest in groundbreaking startups with diverse teams of pre-seed, and seed startups in Biotech, Saas, and Software. ",VC,$100000,$500000
Chanzo Capital,https://www.chanzocapital.com/,"33, Edith Cavell Street, Port-Louis, 11324 ","kenya,côte d'ivoire,nigeria,ghana,south africa","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in African tech ventures that are building the digital economy in sectors like Fintech, Edtech, Agtech, Healthtech, Cleantech, etc in Kenya, Ivory Coast, Nigeria, Ghana and South Africa (KINGS) - these countries are the KINGS of Africa's digital economy.",VC,$25000,$250000
Steamwork Ventures,https://steamwork.vc,"Los Angeles, CA",usa,"3. Early Revenue,4. Scaling","We invest in US-based software/AI companies that impact wealth, health, or climate, with early traction and experienced teams. Prefer LA/SoCal nexus.",VC,$50000,$750000
Constantia New Business,https://www.cnb.capital/,"Opernring 19, Vienna, 1010, AT","austria,germany,switzerland","3. Early Revenue,4. Scaling","We invest in high-tech & deep-tech B2B product companies showing first customer traction.
",VC,$500000,$3000000
Trailhead Capital,https://www.trailheadcap.com/,"1803 S. Foothills Hwy., Boulder, CO, 80303, United States","brazil,australia,usa,canada,israel","3. Early Revenue,4. Scaling",We invest in regenerative food & agriculture companies,VC,$500000,$2000000
Oyster Ventures,https://oyster.vc/,"1355 Market St, #488 , San Francisco, California 94102, US","usa,canada,mexico,south korea,japan,thailand,cambodia,singapore,philippines,vietnam","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in fintech startups,VC,$150000,$3000000
Velocity Ventures,https://www.velocityventures.vc/,33 Maude Road #02-01 YTC Building Singapore 208344,"singapore,malaysia,thailand,philippines,indonesia,cambodia,brunei,laos","3. Early Revenue,2. Prototype,4. Scaling",We invest in Hospitality & Travel early stage startups ,VC,$250000,$1000000
MDR Lab,https://lab.mdr.london/,"70 Kingsway, Africa House, London, England WC2B 6AH, GB","uk,usa,india,australia,germany,sweden,belgium,norway,denmark,italy,spain","2. Prototype,3. Early Revenue",We invest in early stage companies in the legal space and help them find pmf and get ready for commercial traction,Corporate VC,$150000,$50000
AdirVentures,https://adirvc.com/,"New York, NY","usa,israel,uk","3. Early Revenue,4. Scaling","We invest in traditional insurance, distribution and Insurtech.  We also love SAAS solutions that may look to sell into insurance carriers or sell adjacent to insurance products. ",VC,$1000000,$5000000
Climate Avengers,https://angel.co/v/back/climate-avengers,"Irvine, CA","usa,uk,canada","2. Prototype,3. Early Revenue,4. Scaling","We invest in climate and sustainability startups. 

Avenging the Planet One Investment in an Audacious Team at a Time. 
Seed to Series A with strong customer demand and big climate/sustainability impact potential. ",VC,$25000,$200000
Ag Ventures Alliance,https://www.agventuresalliance.com/,"Mason City, IA",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in seed-stage agtech in the US. ,VC,$100000,$200000
Maywic Select Investments,https://maywic.com/,"312 Walnut St, Cincinnati, OH 45202, United States",usa,"3. Early Revenue,4. Scaling",We invest in skilled and invested management teams and we support them by sharing our experience in building businesses that last.,VC,$1000000,$3000000
Global Health Impact Fund,https://globalhealthimpactfund.com/,"1280 Boulevard Way. Walnut Creek, California 94595","usa,canada,israel","2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in healthcare and medical startups, including medical technology and digital health, across all stages through multiple funds.",VC,$250000,$1500000
Lotux,https://lotux.vc/,"Rio Lerma 94, Int. 101, 06500 CDMX, Mexico","mexico,colombia,chile,peru,argentina,brazil","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Latin American pre-seed startups building software-based companies that will improve the lives of the 99% in Latin America,VC,$50000,$100000
Malpani Ventures,https://www.malpaniventures.com,"BKC, Mumbai, Maharashtra, India - 400071",india,"2. Prototype,3. Early Revenue","We invest in early revenue/ traction India focused companies across software/ SAAS, education and healthcare",Family office,$100000,$300000
Alchemy,https://www.alchemysyndicate.com/,"Chelsea, London, UK","usa,uk","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-seed and seed stage companies in the US and Europe. We are sector agnostic but have a specific interest in marketplaces, B2B SaaS and companies exhibiting network effects.",Angel network,$5000,$300000
Simsan Ventures,https://simsan.vc,"83 Baker Street, London, W1U6AG, UK","uk,france,germany,spain,netherlands,india,south korea,sweden,estonia,switzerland,denmark","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early stage tech startups with focuses on deep tech and fintech in the UK, Europe, India and South Korea.",VC,$100000,$2500000
JPIN Venture Cataysts,https://www.jpin.co/,"40 Bank Street, Canary Wharf, London, TW16 6PY, GB","india,uk,south africa","1. Idea or Patent,3. Early Revenue,2. Prototype,4. Scaling","We invest in worldwide blockchain, crypto and digital assets startups below Series C.",VC,$50000,$5000000
Aksara Ventures,https://aksara.vc,"Jakarta, Indonesia","indonesia,singapore","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in ambitious Indonesian/SEA tech startups ,VC,$50000,$300000
Northstar Ventures,https://northstarventures.co.uk/,"5th Floor, Maybrook House, 27-35 Grainger Street, Newcastle upon Tyne, England, NE1 5JE",uk,"2. Prototype,3. Early Revenue,4. Scaling","We invest in teams with a presence in NE of england, with an early product with customers, predominantly focussed on:
Healthy Ageing
Future of Work and Learning
Future of Place
Climate Tech",VC,$150000,$700000
Operator Exchange,https://operator.exchange,Amsterdam,"usa,austria,belgium,france,germany,netherlands,switzerland,uk","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage start-ups. We invest individually up to 50k, or together as a syndicate up to 500k.",Angel network,$5000,$500000
N/ABLE Capital,https://n-able.capital/,"64 Knightsbridge, London, SW1X 7JF, United Kingdom",uk,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in idea-stage entrepreneurs and startups that may lack the technical skills to build their MVP. ,Angel network,$12000,$60000
Immeasurable,https://immeasurable.com,"West Hollywood, CA 90069","usa,mexico,uk,singapore,vietnam,india,brazil,china,south africa","3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in founders building ambitious companies all across the globe.,Family office,$25000,$100000
Galliott Capital Advisors,https://galliott.com/,"9401 Wilshire Blvd, Beverly Hills, CA 90212","usa,saudi arabia","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in early stage companies where product market fit has been established and late stage companies.,Family office,$1000000,$5000000
Flucas Ventures,https://www.flucasvc.com/,"Palm Beach, Florida, USA","usa,nigeria,mexico,colombia,brazil,india,pakistan,ghana,south africa,kenya,canada,israel,uae,egypt,morocco","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in all geographies, sectors and stages, but have an emphasis on fintech and marketplaces. ",Angel network,$100000,$5000000
Alpine Ventures,https://alpine.vc/,"2331 Glenview St, Alameda, CA 94501","usa,canada,indonesia,south korea,vietnam,uk,germany,brazil,mexico,nigeria,zambia,ghana,australia,colombia,singapore,argentina,france,spain,croatia,india","2. Prototype,3. Early Revenue","We invest in seed stage tech startups in consumer Internet, web3 applications, and prosumer software globally. We invest post-product (can be in beta), pre everything else (pre-revenue, pre-growth).",VC,$250000,$2000000
Karmen,https://www.karmen.io/,"Paris, France","france,uk","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We fund recurring models (SaaS companies, D2C Subscriptions, Service businesses) with at least $10k MRR. ",Revenue-based,$10000,$10000000
Fincome,https://www.fincome.co/,"22, Rue Jean-Pierre Timbaud, Paris, Île-de-France 75011, FR",france,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We turn your MRR into funding. ,Revenue-based,$25000,$200000
Ecosystem Integrity Fund,https://eif.vc/,"275 Sacramento St, San Francisco, California 94111, US","usa,canada,rwanda,sierra leone,norway","3. Early Revenue,4. Scaling","We invest in sustainability, efficiency, resiliency companies in gridtech, mobility, supply chain, logistics, agtech, alt protein, green chemistry",VC,$3000000,$10000000
LAUNCHub Ventures,https://launchub.vc,"bul. Cherni Vrah 47, floor 4, Sofia, Bulgaria","bulgaria,greece,romania,north macedonia,serbia,slovenia,croatia,hungary,cyprus,albania,montenegro","2. Prototype,3. Early Revenue,4. Scaling",We invest in ambitious Central and Southeastern European founders and support them to reach their full potential.,VC,$250000,$2500000
Thomson Reuters Ventures,https://www.thomsonreuters.com/en/ventures.html,"3 Times Square New York, New York 10036","usa,uk,singapore,canada,mexico,brazil,india","3. Early Revenue,4. Scaling,5. Growth","We invest in data startups.

-	We are a $100M enterprise technology fund with the backing and resources of Thomson Reuters at our disposal. When we invest, we are seeking to accelerate the growth of the companies we invest in by enabling access to TR’s assets and expertise.

-	We are focused on investments in Series A companies. We will do some opportunistic Seed and/or Series B investments, but the majority with be Series A. 

-	Any company that is verticalized in the markets we operate in or adjacencies, has a core data element, and is building an interesting ML, NLP, prediction, or task/process automation based solution is going to be a sweet spot for TR Ventures",Corporate VC,$2000000,$5000000
Conviction Investment Partners,https://www.conviction-vc.com/,"11 Golden Square, London, W1F 9JB, United Kingdom","albania,andorra,austria,belgium,bosnia-h,bulgaria,croatia,czech republic,denmark,estonia,finland,france,georgia,germany,greece,holy see,hungary,iceland,ireland,italy,latvia,liechtenstein,lithuania,luxembourg,malta,monaco,montenegro,netherlands,north macedonia,norway,poland,portugal,romania,san marino,serbia,slovakia,slovenia,spain,sweden,switzerland,uk,ukraine",3. Early Revenue,"We invest in rapidly scaling B2B SaaS companies, investing at Seed & Series A into companies with revenue and across Europe.",VC,$50000,$5000000
Propeller Ventures,https://www.propellerinc.me/,"Amman, Jordan","egypt,jordan,saudi arabia","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in teams working on SaaS, enterprise software & cloud infrastructure in the Middle East. ",VC,$150000,$500000
Era Ventures,https://eraventures.com/,"New York, NY US",usa,"1. Idea or Patent,5. Growth,4. Scaling,3. Early Revenue,2. Prototype",We invest in proptech startups in the US and globally across stages  ,VC,$1000000,$20000000
Dynamo Ventures,https://www.dynamo.vc/,"800 Market Street Suite 201 Chattanooga, TN 37402","usa,canada,mexico,kenya,uk,germany","2. Prototype,3. Early Revenue,1. Idea or Patent",We are interested in supply chain and mobility startups with enterprise business models that are at the pre-seed or seed stage. We are geo-agnostic. ,VC,$500000,$1500000
Victorum Capital,http://www.victorumcapital.com/,"619 W Main, Oklahoma City, OK 73102",usa,"3. Early Revenue,4. Scaling",We invest in tech and tech-enabled services businesses,VC,$500000,$2000000
Quest Venture Partners,http://www.questvp.com/,"Palo Alto, California, USA",usa,"2. Prototype,3. Early Revenue",We invest in early-stage software and SaaS startups,VC,$400000,$3000000
TechOperators,https://www.techoperators.com,"Atlanta, GA",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage, US-based cybersecurity startups.",VC,$500000,$6000000
Cleo Capital,https://www.cleocap.com/,"3739 Balboa St #1026, San Francisco, CA 94121",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in US-domiciled companies at Pre-Seed and write $500K-1M checks. We are happy to look at any company but we mainly invest in companies that fall into the following three buckets: Future of Income(1099 & Creator Economy), Complicated Consumer(Consumer Fintech, Legal tech, Insurtech, Real Estate tech & Health tech) and Decentralized Enterprise. Read more about our focus areas here: https://cleocapital.medium.com/",VC,$500000,$1000000
Alumshares,https://alumshares.com,"1017 Main Campus Dr Suite 2300 Raleigh, NC  27606",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in hard tech and research spinouts.,VC,$100000,$2500000
Origins Fund,https://www.origins.fund/,"12 E 33rd, New York, 10016, US","usa,canada,france,spain,uk,germany,sweden,denmark,austria,italy,belgium","3. Early Revenue,4. Scaling,2. Prototype","We invest in early-stage consumer tech startups across social, gaming, web3, fintech, health, and more. ",VC,$100000,$500000
Techmind,https://techmind.vc/en/,"20 rue Paul Fort, 75014 Paris","france,spain,uk","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early stage startups based in Europe. ,Angel network,$50000,$1000000
Druid Ventures,https://druidventures.com/,"2909 W Bay to Bay Blvd, Tampa, FL 33629, United States",usa,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in web3 infrastructure and interoperability protocols and companies through tokens, equity, or a combination thereof.",VC,$200000,$1500000
Geek Ventures,https://geek-ventures.com/,"New York, NY, United States",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed US-based and US-focused tech companies with immigrant (or future immigrant) founders.,VC,$50000,$200000
Side Stage Ventures,https://sidestage.vc/,"Melbourne, Australia","australia,usa","2. Prototype,3. Early Revenue,4. Scaling","We invest at the intersection of creativity, technology and culture - a syndicate by founders, for founders. We bring together and connect creators with like-minded, experienced investors, founders and operators who share their time, experience and networks to help you thrive.
We back the thinkers, dreamers and builders blending creativity with technology - to create the next generation of culture defining companies.",Angel network,$100000,$2000000
Audacious Ventures,https://www.audacious.co/,"San Francisco, USA","usa,canada,uk,germany,france,mexico,israel,india","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in seed stage companies: SaaS, Marketplaces, Crypto",VC,$500000,$4000000
Crossbeam Ventures,https://crossbeam.vc/,"120 SW 8th Street, Miami, FL 33130","canada,chile,colombia,mexico,usa","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in pre-seed to Series A stage startups across several industries. We are generalists but many of our startups fall into 1) Fintech 2) Lending 3) Novel asset classes 4) Platform or creator economies and 5) B2B SaaS. We lead or co-lead about 50% of the time, and we pride ourselves in moving fast and being founder-friendly.",VC,$500000,$3000000
Wavemaker Three-Sixty Health,https://www.wavemaker360.com/," 301 N Lake Ave #930, Pasadena, CA 91101","usa,uk","2. Prototype,3. Early Revenue",We invest in seed-stage healthcare technology.,VC,$200000,$1000000
Quiet Capital,https://www.quiet.com/,"San Francisco, California","usa,canada,india,pakistan,uk,france,germany,israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in fintech, crypto, enterprise, healthcare, marketplaces, and consumer startups. ",VC,$500000,$35000000
G2 Fintech Fund,https://g2momentum.capital/,"Campos Eliseos 188 piso 9, México CDMX","mexico,argentina,colombia,chile,peru,ecuador,costa rica,guatemala,honduras,el salvador,panama,dominican republic","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early stage fintech, insuretech and proptech companies with a regional focus in Spanish-speaking LATAM.",VC,$50000,$100000
Pratithi Investments,https://www.linkedin.com/company/pratithi-investments/,"No. 515, 1st Cross, 12th Main, IV Block, Koramangala, Bangalore 560034","india,singapore,usa","4. Scaling,5. Growth",We invest in all sectors with other institution lead investors. We focus on great founders with great products and high standards of corporate governance. We Prefer to invest in capital-efficient companies.,VC,$4000000,$10000000
Resolution Ventures,https://www.resolution.ventures/,Singapore,"singapore,pakistan,malaysia,vietnam,indonesia,philippines,thailand,cambodia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in founders that are building fintech solutions in Southeast Asia that have broader global ambitions. ,VC,$500000,$1000000
KV Ventures,https://kv.ventures,"Ho Chi Minh City, Vietnam","vietnam,usa","3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in US-based Blockchain startups with $500K + APR,VC,$20000,$200000
Capital V,https://capitalv.vc/,Gibraltar,"netherlands,usa,uk,spain,germany,sweden,norway,finland,france,belgium","2. Prototype,3. Early Revenue,4. Scaling","We invest in companies that are removing as many animals from production as possible by creating alternatives to animal products, to achieve an economy without use of animals. #Vegan ",VC,$10000,$100000
Sweet Capital,https://sweetcapital.com/,"London, UK","usa,finland,france,germany,sweden,uk","2. Prototype,3. Early Revenue","We invest in exceptional founders of tech-enabled consumer companies, who are driving positive change in the world.",VC,$500000,$2000000
Adevinta Ventures,https://www.adevinta.com/ventures/,"Barcelona, Catalonia, Spain","france,germany,italy,netherlands,spain","3. Early Revenue,4. Scaling","We invest in fast-growing European startups (sweet spot in Series A and Series B) that can shape the future of mobility, real estate, work and fintech. Leveraging the top positions of Adevinta's brands (e.g. leboncoin, Mobile.de, Fotocasa, Coches.net, Subito) Adevinta Ventures adds strong value and is a long-term partner to portfolio companies.",Corporate VC,$1000000,$7000000
Calculus Capital,https://calculuscapital.com/,12 Conduit Street London W1S 2XH,uk,"4. Scaling,5. Growth,6. Pre-IPO","We invest in software, healthcare and creative content companies. In software space, we prefer B2B business models and ARR of >£750K.  In healthcare, we invest in companies across Healthtech, Medtech, Bitoech, Drug Discovery and diagnostics firm across various stages. Out cheque size ranges from £1 to £3m.",VC,$1000000,$3000000
NEON Adventures,https://neon.com,"15-19 Bakers Row, London, UK EC1R 3DG","uk,usa","3. Early Revenue,4. Scaling","We invest in consumer internet companies with early traction, selling mainly in the UK or US. Three markets we like are sports, pets and photography (specifically blockchain photography).",Family office,$25000,$250000
Ginkgo Equity,https://ginkgo-equity.com/,"Unter den LInden 24, 10117 Berlin, Germany","germany,uk,austria,switzerland,netherlands","4. Scaling,5. Growth",We invest in startups that are not the next unicorn and have therefore difficulties raising from traditional VCs. Focus is B2B products in any industry (no biotech / life sciences). Niche B2C works as well.,VC,$1000000,$10000000
Overton Venture Capital,https://www.overtonvc.com/,"201 E. 79th Street, Unit 14J, New York, NY 10075","usa,canada,mexico,israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in founders who are one step ahead, building next generation products and services essential to the changing consumer and SMB.",VC,$75000,$250000
TheClubDeal Capital Advisors,https://theclubdeal.com,"Chaussée de Waterloo 1429, 1180 Uccle, Belgium","belgium,france","5. Growth,4. Scaling,3. Early Revenue","We invest in growth sectors: life-sciences, smart living and Tech. These sectors were chosen for their ability to generate the most value out of our regions. We invest local ventures in order to have a pro-active interaction with the entrepreneur and his venture. Our target are ",PE fund,$1000000,$5000000
Blue Heron Capital,https://www.blueheroncap.com/,"1519 Summit Ave, Suite 200, Richmond, VA 23230, United States",usa,"4. Scaling,5. Growth,3. Early Revenue",We invest in differentiated platforms in the healthcare and technology industries with $2M+ in ARR.  ,VC,$2000000,$8000000
Hartmann Metaverse Ventures,https://hartmanncapital.com/,"751 Park of Commerce Dr, Boca Raton, Florida 33487, US","usa,canada,germany,uk,ukraine,france,poland,sweden,switzerland,australia,austria,new zealand,italy,spain,portugal,belgium,netherlands,ireland","3. Early Revenue,2. Prototype,4. Scaling",We invest in global metaverse projects valued between 10-100mm,VC,$100000,$1000000
Aligned Climate Capital,https://www.alignedclimatecapital.com/,"3900 W. Alameda Ave, Burbank, CA 91505","usa,canada","4. Scaling,3. Early Revenue,5. Growth","We invest in the people, companies, and real assets that are decarbonizing the global economy and its infrastructure.",VC,$0,$10000000
Blue 9 Capital,https://www.blue9capital.com/,New York,usa,"3. Early Revenue,4. Scaling","We invest in FinTech, Ecommerce Tech, and blockchain startups",Family office,$50000,$2000000
ACF Investors,https://www.acfinvestors.com/,"Sheffield Technology Park, Arundel Street, Sheffield, S1 2NS",uk,"2. Prototype,3. Early Revenue,4. Scaling",We invest in UK based companies across almost all sectors and with each investment we look to coinvest with alongside sector smart angel investors.,VC,$300000,$1000000
Cortado Ventures,https://cortado.ventures/,"12 E. California, Ste. 200; Oklahoma City, OK 73104",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in mid-continent B2B tech companies in the energy tech, logistics, and healthcare/life sciences sectors. 

Important: (1) Deals with a meaningful Oklahoma tie will take priority, and (2) please use the intake form below to start our process",VC,$100000,$750000
"American Prudential Capital, inc.",https://apccash.com/,"10216 Fairbanks N. Houston Rd., Houston, Texas 77064, US",usa,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in B2B companies in Texas and other states not California nor in New York. 
No crypto, no cannabis, no B2C, no strictly credit cards on subscription. 
Our family's small family office has funded thousands of companies and billions of dollars in the last thirty three years. 
Imagine a recent start up growing from using $100k month one to $150M year one with revenues of $250M plus year one in B2B oilfield roustabout welding. ",Family office,$25000,$15000000
Target Global,https://www.targetglobal.vc/,"Schinkelpl. 5, 10117 Berlin, Germany","germany,france,netherlands,uk,spain,austria,israel,luxembourg,portugal,switzerland","3. Early Revenue,2. Prototype,4. Scaling,1. Idea or Patent,5. Growth,6. Pre-IPO","We invest in fintech, healthtech, consumer-enabled SaaS, mobility, and edtech.

Target Global is a leading technology investment firm. We nurture innovative companies into global success stories, providing investment, strategic advice, and practical support from concept through to exit. Founded in 2012 and with offices across many of the most exciting tech hubs in Europe, we make investments across the fintech, healthtech, consumer-enabled SaaS, mobility, and edtech sectors.",VC,$250000,$50000000
Relay Ventures,https://relayventures.com/,"446 Spadina Rd Suite 303, Toronto, ON M5P 3M2","canada,usa","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in North-American and European startups operating in 4 verticals - Fintech, Urbantech (mobility and micromobility, software-oriented businesses), Proptech, and Gaming & Entertainment.",VC,$100000,$1000000
Cusp Capital,https://www.cuspcapital.com/,"Rüttenscheider Strasse 62, 45130 Essen, Germany","austria,belgium,finland,france,germany,netherlands,norway,poland,portugal,spain,sweden,switzerland","3. Early Revenue,4. Scaling","We invest in early stage companies based in Continental Europe, no Hardware companies / products. 

Our investment activities focus on for core thesis, see detailed descriptions at https://www.cuspcapital.com/",VC,$1000000,$10000000
Epakon Capital,https://www.epakon.com/,"Miami, Florida, USA","usa,mexico,brazil,colombia,venezuela,chile,peru","2. Prototype,3. Early Revenue,4. Scaling","We invest in category-defining businesses in LatAm post-product, pre-revenue.",VC,$100000,$200000
