Name,Location,Type,Website,Amount (up to EUR),Description / Eligibility,Website Domain
Smart and Start,Italy,Interest free loan,"https://www.studiolegalecoscia.it/commercial-and-corporate-law/national-incentives-for-start-ups-what-are-the-opportunities/#:~:text=1)-,Smart%20%26%20Start%20Italy,-Probably%20the%20most",1500000.0,"Probably the most important measure, because it allows innovative start-ups to obtain a zero-interest loan, without any guarantee, to cover 80% of eligible expenses between € 100,000 and € 1.5 million, for the purchase of capital goods, services, personnel expenses and business operating costs.

This percentage can rise to 90% if the start-up:

is made up entirely of women and/or young people under 36;
or if among the members there is an expert with the title of Italian PhD (or equivalent), who works abroad and wants to return to Italy.
Furthermore, start-ups based in the Regions Abruzzo, Basilicata, Calabria, Campania, Molise, Puglia, Sardinia and Sicily and in the seismic crater of Central Italy, can enjoy a non-repayable grant equal to 30% of the loan and thus return only 70% of the funding received.

To find out more, read the full article on our website.
To submit your application for admission to the call immediately, click here.
Call deadline: until resources are exhausted.","studiolegalecoscia.it/commercial-and-corporate-law/national-incentives-for-start-ups-what-are-the-opportunities/#:~:text=1)-,Smart%20%26%20Start%20Italy,-Probably%20the%20most"
Smart Money,Italy,Grant,https://www.studiolegalecoscia.it/en/commercial-and-corporate-law/smart-money-a-double-measure-to-support-projects-and-investments-in-the-risk-capital-of-innovative-start-ups/,30.0,"With this measure, the MISE provides two types of facilitation:

the first allocates non-repayable grants of up to 10,000 euros to start-ups – which covers up to 80% of eligible expenses – to purchase the services provided by the network of incubators, accelerators and other authorized entities.
To obtain it, start-ups must submit a development project that includes an activity plan to be implemented in at least 12 months.
The second – intended for innovative start-ups that will complete the aforementioned business plan – provides for a non-repayable grant equal to 100% of the investment in risk capital (within the overall limit of 30,000 euros) by authorized entities, qualified investors or business angels, to finance their development plans.
Deadline of the call: until resources are exhausted.
To find out more, read the full article on our website.
To submit your application, click here.",studiolegalecoscia.it/en/commercial-and-corporate-law/smart-money-a-double-measure-to-support-projects-and-investments-in-the-risk-capital-of-innovative-start-ups/
Magnetic Latvia,Latvia,Grant,https://startuplatvia.eu/promotion-international-competitiveness,60.0,"Do you feel that your company is ready to expand abroad? Then this is the right program for you! Promote your company abroad with some few simple steps and be recognized everywhere!

Here are three main support activities in this program:

1) Support for manufacture companies. Up to EUR45,000 with support intensity of 90%. Support activities include:
     - Costs of expert analysis of product and/or factory;
     - Certifications costs.

2) Support for export activities. Up to EUR60,000 with support intensity of up to 80%. Support activities include:
     - Participation in international exhibitions with an individual stand or joint stand;
     - Participation in conferences/forums abroad with an individual stand, with a presentation or as a listener/visitor;
     - Participation in contact exchanges abroad and online contact exchanges abroad;
     - Participation in international digital industry platforms and digital exhibitions;
     - Adaptation of products / services to foreign markets;
     - Publicity in foreign media;
     - Telemarketing services for finding foreign partners in the fields;
     - Market research in foreign countries;
     - Support of expert in industry field.

3) Support for participation in National Stands organized by LIAA. 100% support intensity. Support activities include:
     - Rent of area in exhibition hall;
     - Construction of exhibition area;
     - Registration cost for company in exhibition;
     - Consultative support from LIAA before and during exhibition.

More information about program and how to apply to it can be found in Latvian Investment and development agency homepage!

Also please check the brochure for a detailed support description.",startuplatvia.eu/promotion-international-competitiveness
Sweden-Latvia Cooperation Fund,"Latvia,Sweden",Grant,https://swelatfund.org/applyforgrants,,"The Sweden-Latvia Cooperation Fund supports the development of promising project ideas and the start-up phase of new projects with a clear development perspective. Particular attention is given to exchange and cooperation for network building between young people to promote social cohesion, creativity, innovations and the formation of new enterprises.  ",swelatfund.org/applyforgrants
EUIPO,Lithuania,Grant,https://www.startuplithuania.com/publicfund/sme-fund-2023/,1.0,"The SME Fund offers financial support to SMEs established in the European Union. The application can be filed by an owner, an employee, or an authorised representative of an EU SME acting on its behalf. Grants are always transferred directly to SMEs.

What you will get
The SME fund is a reimbursement programme that issues vouchers that can be used to partly cover the fees for the selected activities. There are two types of vouchers available depending on the activity concerned:

Voucher 1: €630 – to cover the cost of IP pre-diagnostic services (IP Scan)

Voucher 2: €1000 – to use for trade mark & design eligible fees.

More information and application HERE.

Deadline for Applications: 2023-12-08",startuplithuania.com/publicfund/sme-fund-2023/
Lithuanian Business Support Agency (LVPA),Lithuania,Grant,https://lvpa.lt/en/veikla,,"Innovation Agency Lithuania – Lithuania’s business competitiveness partner in a global world!
 

The objective of the Innovation Agency is to act in the public interest by promoting sustainable economic development based on scientific knowledge, advanced technologies and innovation, and increase the country’s international competitiveness.

Areas of activity of the Innovation Agency

Development of technology and innovation
Creating a business-friendly environment
Promotion of entrepreneurship
Development of small and medium-sized businesses
Export promotion and development of business internationalisation

Innovation Agency Vision 2030

Double the share of high value-added products and services in exports
Higher than the EU average productivity of every second company
Triple private R&D investment",lvpa.lt/en/veikla
Fit 4 Starts,Luxembourg,Accelerator,https://www.startupluxembourg.com/fit-4-start,150.0,"16 weeks of intensive coaching, up to €150,000 pre-seed capital, free access to co-working space and valuable networking opportunities in Luxembourg.",startupluxembourg.com/fit-4-start
Luxembourg National Research Fund (FNR),Luxembourg,Grant,https://www.fnr.lu/funding/,1500000.0,Researchers and research teams affiliated with Luxembourg research institutions.,fnr.lu/funding/
Luxinnovation,Luxembourg,Government,https://www.luxinnovation.lu/innovate-in-luxembourg/funding/research-development-projects/,1200000.0,"Please note that companies in difficulty are ineligible.

It concerns the following situations:

For all companies (excluding SME < 3 years of existence): more than half of subscribed share capital (share premium included) has disappeared as a result of accumulated losses
Large enterprises, if within the last 2 years:
book debt to equity ratio > 7.5
EBITDA interest coverage ratio < 1.0
If restructuring (following a rescue or restructuring aid), subject to collective insolvency proceedings or an outstanding recovery order of a State aid.",luxinnovation.lu/innovate-in-luxembourg/funding/research-development-projects/
Dusk Network,Netherlands,Grant,https://grants.dusk.network/opportunities/,30.0,"The Dusk Grants Program helps projects and developers launch to drive mainstream adoption of blockchain and build the future of finance. Opportunities on Dusk Network are endless.

Apply
Join the Dusk Mission
Enable any size enterprise to collaborate at scale, meet the highest level of compliance requirements, and ensure that personal and transaction data remains confidential.",grants.dusk.network/opportunities/
Dutch Good Growth Fund,Netherlands,Loan,https://english.dggf.nl/,15000000.0,"Dutch Good Growth Fund provides financing for Dutch SMEs that are doing business in developing countries, with a focus on sustainable economic growth and poverty reduction.",english.dggf.nl/
Dutch Research Council (NWO),Netherlands,Grant,https://www.nwo.nl/financiering-vinden,15000000.0,"In the call for proposals you will find out what the purpose of the funding round is, who can apply, how much money is available, what conditions your application must meet, how you can submit it and when NWO will make a decision about your application at the latest.

 As a rule, NWO distributes research grants via a tender procedure. The applications submitted within a funding round are assessed and then ranked on the basis of objective criteria. The best applications end up highest and are therefore the first to be eligible for a subsidy. The grants are awarded in order of this ranking, until the available grant budget has been exhausted.",nwo.nl/financiering-vinden
Feasibility Projects (MIT),Netherlands,Grant,http://www.rvo.nl/subsidie-en-financieringswijzer/mit-regeling/aanvragen/haalbaarheidsprojecten,350.0,"Feasibility Projects (MIT) grant is one of Netherlands Enterprise Agency’s (RVO) program that aims to support entrepreneurs, companies and organizations to invest in innovative projects. RVO MIT Haalbaarheidsstudie for projects that aims to assess the feasibility of an innovation project. The subsidy is €20,000 and cover up to 60% of the total project’s costs. Expenses that fall under the scheme are, for example: market research, competition analysis and patent research
RVO MIT R&D samenwerkingsprojecten for industrial research and/or experimental development projects. The funding is anywhere from €50,000 to €350,000 and mustn’t cover more than 35% of the total project’s costs",rvo.nl/subsidie-en-financieringswijzer/mit-regeling/aanvragen/haalbaarheidsprojecten
Health Holland,Netherlands,Grant,https://www.health-holland.com/funding-opportunities/research-development-grants,750.0,Holland R&D Grant is available for Dutch life sciences startups and SMEs that are working on innovative research and development projects in the fields of human and animal health.,health-holland.com/funding-opportunities/research-development-grants
Innovation Credit (Innovatiekrediet),Netherlands,Government,https://english.rvo.nl/subsidies-programmes/innovation-credit,10000000.0,"Are you working on the technological development of a new product, process or service? Or the clinical development of a new drug or device? Take advantage of the Innovation Credit. The Innovation Credit is intended for the development of innovative development projects with considerable technological risks and an excellent market perspective.",english.rvo.nl/subsidies-programmes/innovation-credit
MRE,Netherlands,Grant,https://innovencio.nl/subsidie/stimuleringsfonds-sre/,50.0,"The MRE grant is specifically aimed at the Metropolitan Region around Eindhoven with the aim of getting innovations started in the area. This makes it the perfect grant for HighTechXL companies. A partnership of two (or more) companies from the Eindhoven region can receive up to €50,000 in funding for projects such as feasibility studies, developing a business case, setting up a pilot or developing a prototype.",innovencio.nl/subsidie/stimuleringsfonds-sre/
OP Zuid,Netherlands,Grant,https://innovencio.nl/op-zuid-efro/,1000000.0,"Regional grant with a European touch. Funds are provided by the European Regional Development Fund (ERDF) but distributed regionally by the OP Zuid program. The aim of the program is to use the local innovative ecosystem in the south of the Netherlands to realize economic and social impact in ongoing transitions in energy, climate, raw materials, agriculture and food and health. In the current round of funding, partnerships of two organizations (or more) can receive up to €1 million in grant funding. Larger projects with a variety of project partners are best suited for the OP Zuid grant.",innovencio.nl/op-zuid-efro/
PoC RVO,Netherlands,Government,https://english.rvo.nl/subsidies-programmes/proof-concept-funding,2750000.0,Startups and SMEs can use a loan from the Proof-of-concept funding scheme to examine whether their idea is potentially feasible in the market. The loan plus the interest have to be repaid. The interest rate is 6.03% (as of 1 October 2022).,english.rvo.nl/subsidies-programmes/proof-concept-funding
Proof-of-concept funding (Vroegefasefinanciering),Netherlands,Loan,http://business.gov.nl/subsidy/proof-of-concept-funding/,350.0,"Vroegefasefinanciering (VKK) is another of Netherlands’ loan grants for startups.

Unlike the Innovation Credit (IK), VKK is for smaller businesses and entrepreneurs that need funding to assess whether their idea is market-ready.

Unlike IK, the loan can cover up to 100% of the projects though. The size of the loan ranges anywhere from €50,000 to €350,000.

Note you must repay the loan if the project is successful at an interest rate of 4.55% (as of 2021).",business.gov.nl/subsidy/proof-of-concept-funding/
Start Life,Netherlands,Grant,https://start-life.nl/,50.0,"Startups in the agri-food, biobased, or life sciences sector that are based in the Netherlands.",start-life.nl/
WBSO Tax Credit,Netherlands,"Government ,Tax Credit",https://english.rvo.nl/subsidies-programmes/wbso,1750000.0,"Flying cars, 3D metal printers, energy-generating dance floors and sustainable prams. Just a few examples of the innovative products developed by Dutch entrepreneurs thanks to the WBSO R&D tax credit.

If your business carries out research and/or development projects you may be able to make use of the research and development tax credit: WBSO.",english.rvo.nl/subsidies-programmes/wbso
Innovation Norway,Norway,Grant,https://en.innovasjonnorge.no/,,"We give local ideas global opportunities
Innovation Norway helps Norwegian companies to grow sustainably and increase exports by providing access to competence, capital and networks. Together we think bigger.
BusinessNorway
Business Norway
Business Norway is a digital marketplace that showcase cutting-edge Norwegian solutions and technology, bringing together investors and partners to drive global growth.
InvestIn
Invest in Norway
Why not consider establishing your business or development activities in Norway? To maintain and enhance innovation in our core- and emerging knowledge-intensive industries, we welcome foreign investors who would like to take part in this process.
VisitNorway
Visit Norway
The travel and tourism sector within Innovation Norway works to promote a nationwide tourist and tourism development throughout the whole country.
",en.innovasjonnorge.no/
Nordic Startup Awards,"Norway,Denmark,Sweden,Iceland,Finland",Competition,https://nordicstartupawards.com/,,"Having categories for Startups, Investors, Incubation/Acceleration programs, Ecosystem heroes, and Co-working spaces, our mission is to find, recognize and connect future-shapers from all over the world while keeping the independence of the competition, so we never sell your data and or charge you for anything. 

What can you gain as a winner in the competition:

Better recognition nationally, regionally, and globally to attract business opportunities even from other countries, regions, and continents.

Access to GSA Alumni Network which is an invite-only VIP club that not only serves a greater movement that fosters the development of startup ecosystems globally but also gives You access to a well-selected global network to support your international business endeavors.

Connection to other regional and global stakeholders - finalists, winners, juries, partners, and ambassadors.

Matchmaking with active investors, successful startups, accelerator and incubator programs, as well as government initiatives.

Promotion through Global Startup Awards’ regional and global social media channels and newsletters.

Opportunity to contribute with your expertise and knowledge to a greater good: to shape the global startup ecosystem with other selected future shapers.

Enjoy the benefits of valuable services and products offered by our Prize Sponsors, as well as the opportunity to have a one-hour online conversation with some of the globally recognized investors and industry experts from all around the world. ",nordicstartupawards.com/
EEA Grants,"Norway,Iceland,Lichtenstein",Grant,https://eeagrants.org/apply-for-funding,,"What is funded
We fund a large variety of topics, ranging from climate change and energy to cultural cooperation and civil society support. However, we do not cover all of them in every country. Instead, we prioritise the funding to what is most relevant in each country. This means that in order to be eligible for funding, your project idea needs to fit into one of the programmes in your country and contribute to its overall objective.

Have a look at the overview of supported topics to see whether your idea could be funded.",eeagrants.org/apply-for-funding
Accelpoint Poland Prize,Poland,Grant,https://accelpoint.com/polandprize/,65.0,"“Poland Prize by Accelpoint” is a program for foreign startups and founders (non-Polish citizens) who are willing to launch their company in Poland. Poland Prize is a government and EU sponsored program offering:

equity-free cash grant of up to 75 kUSD or 300 kPLN covering soft-landing, development and acceleration in Poland

Proof-of-Concept with a reliable Business Partner in Poland

opportunity to find first clients or reference partners

scale on the entire EU market

Our accelerator helped over 70 startup teams launch and scale activities. We have an extensive pool of mentors, experts and corporate partners covering UX/product, marketing, legal, tech and business areas of expertise.

We take pride in at least 50% commercialization rate following the acceleration and the numbers keep growing!

Through a network of countless partners in CEE, EU and South-East Asia, we help our alumni scale abroad.",accelpoint.com/polandprize/
KPT ScaleUP,Poland,"Grant,Accelerator",https://scaleup.kpt.krakow.pl/,,"KPT ScaleUp is an acceleration program accelerating the development of young companies with solutions in the area of ​​Industry 4.0. Companies receive expert support, mentoring, a grant of up to PLN 200,000 and, above all, the opportunity to cooperate with large companies ready to test new solutions.
The program has been operating since 2017, has over 60 graduates and worked for 25 corporations.
The program is implemented in editions, new groups of companies are accepted to the program more or less every six months.
Upcoming editions: summer 2021 and winter 2021
Corporations interested in cooperation, please contact project manager Angelika Popławska: apoplawska(at)kpt.krakow.pl
Startups interested in participating in the program are encouraged to read all the documents recommended in the first section of the website: guide, list of challenges, examples of graduates.",scaleup.kpt.krakow.pl/
Lublin Science and Technology Park,Poland,Grant,https://www.paih.gov.pl/investment_support/industrial_and_technology_parks/lublin,,"START-UP: LPNT creates an atmosphere and gives tools for the rapid development of innovative ideas. We offer a lot of free training, we provide offices and conference rooms, we organize many events for start-up owners. The Technology Incubator helps novice entrepreneurs in launching and running their own business. This assistance includes, among other things: rental of office space on preferential terms with appropriate infrastructure, consulting services in the field of law, accounting, marketing, business plan development, mentoring and access to specially equipped rooms (conference room, rooms for business meetings) and an environment of other companies involved in innovative activities.",paih.gov.pl/investment_support/industrial_and_technology_parks/lublin
Polish Investment Trade Agency,Poland,Government,https://www.paih.gov.pl/why_poland/investment_incentives/governmental_grants,,"Type of grants

Under the Programme, support for the initial investment will be granted from two titles: eligible costs of creating new jobs and eligible costs of investments. The Programme is entirely financed from the State Budget.

What projects can count on support?

In the light of the provisions on Regional State Aid (as defined in Article 2(49) of the initial investment Commission Regulation (EU) No 651/2014 of 17 June 2014 declaring certain categories of aid compatible with the internal market in application of Articles 107 and 108 of the Treaty (GBER)), the definition of a initial investment reads as follows:
setting-up of a new establishment	extending the capacity of an existing establishment	diversification of the output of an establishment into products not previously produced in the establishment	fundamental change in the overall production process of an existing establishment	the acquisition of assets belonging to an establishment that has closed or would have closed had it not been purchased, and is bought by an investor unrelated to the seller
Important

Start of works on the investment is only possible after submitting a letter/application for State Aid with attachments to the Ministry responsible for the economy (an incentive effect analysis is required only for projects implemented by large entrepreneurs - in accordance with Annex I of Commission Regulation (EU) No 651/2014 of 17 June 2014 declaring certain categories of aid compatible with the internal market in application of Articles 107 and 108 of the Treaty).

Under the Programme, support is granted based on:

1. The number of jobs created (employment grant)

2. Investment costs (investment grant)

3. Increased support for employee training

Obligation to fulfil qualitative criteria

Entrepreneur may receive a maximum of 10 points as part of the qualitative assessment of the investment. When applying for support for investment costs, it is possible to select up to 10 out of 11 qualitative criteria for investment evaluation.

An entrepreneur may receive support in the case of obtaining at least:

4 points - in the case of locating the investment in the area of the country where the maximum regional aid [in accordance with the regulation issued on the basis of Article 10(2) of the Act of 30 April 2004 on proceedings in cases concerning State Aid] intensity is 50% or in an area at risk of exclusion;
5 points - in the case of locating the investment in the area of the country where the maximum regional aid intensity is 30% and 40%;
6 points - in the case of locating the investment in the rest of the country.

1. Qualitative criteria for investment evaluation in the case of applying for support for the costs of creating new jobs:

Type of processes performed
Conducting R+D activities
Utilization of the potential of human resources
Robotization and process automation
Status of a micro, small or medium-sized entrepreneur
Creating highly-paid and stable workplaces
Investment in a building with low negative impact on the environment
Supporting the territorially balanced development of the country
Supporting the acquisition of education and professional qualifications and cooperation with sectoral education
Taking care of employee welfare

2. Qualitative criteria for investment evaluation in the case of applying for support for investment costs:

Investment in a strategic sector
Utilization of the potential of human resources
Robotization and process automation
Conducting R+D activities
Investment in RES
Status of a micro, small or medium-sized entrepreneur
Creating specialised workplaces
Running a business with a low negative impact on the environment
Territorially balanced development
Supporting the acquisition of education and professional qualifications and cooperation with sectoral education
Taking care of employee welfare
",paih.gov.pl/why_poland/investment_incentives/governmental_grants
ADN Startup Scheme,Portugal,Accelerator,https://www.spgm.pt/pt/catalogo/apoio-ao-desenvolvimento-de-negocio-adn-start-up/,,Establishment of a financial support scheme for start-ups and micro enterprises in business for less than 4 years and with a minimum of 15% own capital.,spgm.pt/pt/catalogo/apoio-ao-desenvolvimento-de-negocio-adn-start-up/
Incubation Valley,Portugal,Grant,https://www.iapmei.pt/PRODUTOS-E-SERVICOS/Incentivos-Financiamento/Sistemas-de-Incentivos/Incentivos-Portugal-2020/Vale-Incubacao.aspx,,"Support for companies in their first year of business in the area of entrepreneurship, by contracting incubation services provided by certified incubators. The support includes management, marketing, consultancy and legal support services, support for digitisation and intellectual property protection and support for applications for entrepreneurship and innovation tenders.",iapmei.pt/PRODUTOS-E-SERVICOS/Incentivos-Financiamento/Sistemas-de-Incentivos/Incentivos-Portugal-2020/Vale-Incubacao.aspx
KEEP,Portugal,Tax Credit,https://taxsummaries.pwc.com/portugal/corporate/tax-credits-and-incentives,,Tax incentives to support the retention of workers in technology companies that have been in business for less than six years.,taxsummaries.pwc.com/portugal/corporate/tax-credits-and-incentives
Momentum program,Portugal,"Accelerator,Competition",https://startupportugal.com/programs/momentum/,,"Support for recent higher education graduates and final year students who received social action grants during their courses and who, on completing their studies, wish to develop a business idea.",startupportugal.com/programs/momentum/
Pitch Voucher,Portugal,Grant,https://startupportugal.com/pitchvoucher,,"The Pitch Voucher promotes the strengthening of the relationship between start-ups and large undertakings. Through the Startup Centre platform, undertakings can raise technological challenges and start-ups can respond with innovative solutions.",startupportugal.com/pitchvoucher
Portugal 2020,Portugal,Grant,https://portugal2020.pt/,75.0,"Where and how funds are being invested
 

Approved projects
Ensuring full transparency in the allocation of European Union Funds involves sharing with all citizens.


Monitoring
Analyze whether the implementation of the Programs is taking place according to plan, and efficiently.


Assessment
Contribute to the results-oriented logic assumed in the 2014-2020 programming period.",portugal2020.pt/
Startup Voucher,Portugal,Grant,https://www.iapmei.pt/PRODUTOS-E-SERVICOS/Empreendedorismo-Inovacao/Empreendedorismo-(1)/StartUP-Voucher-2019-2022.aspx,,Support for developing projects in the ideas stage. This envisages the provision of various technical and financial tools to help 18 to 35-year-old entrepreneurs to set up new innovative companies.,iapmei.pt/PRODUTOS-E-SERVICOS/Empreendedorismo-Inovacao/Empreendedorismo-(1)/StartUP-Voucher-2019-2022.aspx
Tech Visa,Portugal,Visa,https://www.iapmei.pt/Paginas/Tech-Visa-pt.aspx,,Creation of a visa for technological and innovative companies in the global market that seek to attract highly qualified staff from non-Schengen countries.,iapmei.pt/Paginas/Tech-Visa-pt.aspx
Innovx - BCR,Romania,"Grant,Accelerator",https://www.innovx.eu/,50.0,"Rannis coordinates and promotes Icelandic participation in European cooperation programmes, such as Horizon 2020, Erasmus+ and Creative Europe, as well as other international programmes.",innovx.eu/
Startup Nation Romania,Romania,Grant,https://start-upnation.ro/,40.0,"Your business idea can now become a reality!
 
Non-Reimbursable Financial Allowance (AFN) - maximum 200,000 lei/beneficiary, an amount that can represent a maximum of 95% of the value of eligible expenses (including VAT for non-paying companies) related to the project.",start-upnation.ro/
Royal Society of Edinburgh,Scotland,Government,https://www.rse.org.uk/awards/enterprise-fellowship/,114.0,"The Royal Society of Edinburgh provides funding and support to researchers and entrepreneurs in Scotland. Their Enterprise Fellowship program provides non-dilutive funding of up to £100,000 to early-stage startups in the life sciences, healthcare, and other sectors.",rse.org.uk/awards/enterprise-fellowship/
Scottish Enterprise,Scotland,Grant,https://www.scottish-enterprise.com/support-for-businesses/funding-and-grants/business-grants/smart-scotland-grant,100.0,"You may be eligible if:
You’re a small or medium sized business, university spin-out or an individual
You’re based, or planning to set up, in Scotland
Your project represents an advance in technological innovation for the UK industry or sector concerned
There are technical risks and challenges associated with defining and developing the technology
You own, or have rights to use, the intellectual property required to undertake the project
You’ll own all intellectual property developed throughout the project
You have the necessary management and technical expertise and resources (either in-house or brought-in) to make the project a success
Both the project and the business are financially viable
Financial assistance from SMART:Scotland is essential for the project to go ahead
",scottish-enterprise.com/support-for-businesses/funding-and-grants/business-grants/smart-scotland-grant
Big Small Business Project,Serbia,Grant,https://velikamalaprivreda.rs/en/grants/,,"The United States Agency for International Development (USAID) Big Small Businesses project (Projekat velika mala privreda) is a five-year activity ACDI/VOCA is implementing in partnership with J.E. Austin Associates, Center for Advanced Economic Studies (CEVES), and the Ana and Vlade Divac Foundation.
The Project aims to create and strengthen an ecosystem to help Serbian micro, small and medium enterprises (MSMEs) to better integrate into higher value markets and achieve a more inclusive and sustainable development in the focus sectors of Agriculture & Food and Equipment and Machines – with intersectional opportunities in Digitalization, Green Economy, and Creative Industry applications.
Therefore, by opening the funding /grant opportunities through the Annual Program Statement TPI APS 2023-01, we seek responsible private sector partners willing to collaborate and implement concrete market-driven solutions to resolve key development challenges.


We are looking to create effective and efficient partnerships with our grantees that will advance:
a) private sector-led market-driven and market-oriented development;
b) the Big Small Businesses project’s strategic priorities and objectives;
c) the ongoing and sustainable generation of valuable development outcomes, results, and impact; and
d) investing in inclusive outcomes through enabling opportunities for women and youth.


We are expecting your Expressions of Interest (EOIs) from June 21, 2023, to April 30, 2024.",velikamalaprivreda.rs/en/grants/
Innovation Fund Serbia,Serbia,Grant,http://www.inovacionifond.rs/en/fond/about-fund,5000000.0,"Serbia is one of the first countries in the region to adopt the so-called innovation imperative – the idea that successful participation in the world economy based on knowledge implies the ability to adapt and improve technological and research capacities based on cooperation between the public and private sectors.

Active since 2011, the Innovation Fund has been a pioneer in the institutional implementation of this imperative - primarily by increasing the capacity of start-ups and available resources for their growth. The Fund is thus part of a broader state innovation strategy.

The vision of the Fund is to, as a key state actor in the development of Serbia's innovation system, contribute to the country's economic growth by supporting innovation, strengthening the link between science and economy, establishing new and strengthening existing companies with innovative potential, through various financial instruments.

The Fund's mission is to support the development of innovation through appropriate financial, technical and advisory support instruments to empower innovative enterprises and strengthen the link between research and development on the one hand and the business sector on the other, respecting the highest ethical, financial and business standards and practices.

The Fund aims to improve the links between science, technology and the economy and contribute to encouraging the development of innovative entrepreneurship by:

сupporting innovative entrepreneurship, especially in the early stages of development;
connecting scientific research organizations and private companies for the development and commercialization of innovations;
enabling new products, technologies and services to enter the market;
establishing long-term institutional support of the state for innovative entrepreneurship in cooperation with international financial institutions, organizations, donors and the private sector.
The European Union's support to the Fund, since the beginning of its operational work in 2011, has given a crucial impetus to the financing of innovation in Serbia and the strengthening of links between the research and private sectors. 

The Innovation Fund has established an independent management structure with a developed system of international project auditing and a reputable Expert Commission consisting of international and diaspora experts with many years of experience running technology companies, scientific research, commercialization and investment in innovation.

Results

By encouraging innovative entrepreneurship and strengthening the link between science and economy, the Innovation Fund, under the auspices of the Ministry of Education, Science and Technological Development, with the wholehearted support of the European Union and the World Bank, will make great efforts to create a positive environment to support the economy based on knowledge.",inovacionifond.rs/en/fond/about-fund
Katapult Accelerator,Serbia,Grant,https://katapult-akcelerator.rs/,50.0,"Katapult is looking for ideation and growth stage companies across a range of industries, especially the ones covered by the Smart Specialization Strategy Serbia.

Whether your company is just launching or already growing, the accelerator provides:",katapult-akcelerator.rs/
Teaching Factories,"Serbia,Europe","Grant,Competition",https://www2.fundsforngos.org/education/teaching-factories-competition-2023-deep-tech/,15.0,"Eligibility Criteria
To be eligible for applying, applicants:
must be a public or private, small, medium, or large enterprises (including social enterprises) in the manufacturing sector. Applicants must be a registered “legal entity”: any natural or legal person created and recognised as such under national law, EU law or international law, which has legal personality, and which may, acting in its own name, exercise rights and be subject to obligations, or an entity without legal personality.
must be established in one of the following countries:
the Member States of the European Union, including their outermost regions: Austria, Belgium, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden.
the EU Outermost regions linked to the Member States of the European Union.
the countries associated with Horizon Europe and the low- and middle income countries ;",www2.fundsforngos.org/education/teaching-factories-competition-2023-deep-tech/
Basque Government,Spain,Grant,https://www.m-era.net/joint-calls/joint-call-2022/participating-countries-regions-call-2022/spain-programmes/spain-basque-country-innobasque,250.0,"Beneficiaries: Small, medium and large companies and company associations. Research centers, universities and public entities only if subcontracted by the beneficiaries.

Type of research eligible for funding: Industrial research and experimental development.

Thematic restriction and other remarks: Proposals must fit within Basque Country's strategic specialization areas defined in the PCTI 2030: smart industry, cleaner energies, personalised healthcare, healthy food, eco-innovation, sustainable cities, creative Basque Country",m-era.net/joint-calls/joint-call-2022/participating-countries-regions-call-2022/spain-programmes/spain-basque-country-innobasque
EIC Accelerator Pilot,Spain,Grant,https://ec.europa.eu/programmes/horizon2020/en/h2020-section/eic-accelerator-pilot,50.0,"Horizon 2020 was the EU's research and innovation funding programme from 2014-2020 with a budget of nearly €80 billion.

The programme has been succeeded by Horizon EuropeEN•••.

All news, events, programme details, project lists and more are available on the archived Horizon 2020 website.

Horizon 2020 web",ec.europa.eu/programmes/horizon2020/en/h2020-section/eic-accelerator-pilot
ENISA Crecimiento,Spain,Loan,https://www.enisa.es/es/financia-tu-empresa/lineas-de-financiacion/d/crecimiento,1500000.0,"Being an SME, according to the definition of the European Union.
Have your own legal personality, independent from that of your partners or participants.
Have your main activity and your registered office in the national territory.
That your business model is innovative, novel or with clear competitive advantages.
Co-financing of the financial needs associated with the business project.
Your own funds must be, at least, equivalent to the amount of the loan.
You must show a balanced financial structure and professionalism in your management.
You will have to demonstrate the technical and economic viability of your business project.
The accounts of your last closed financial year must be deposited in the Mercantile Registry or in another appropriate public registry.
For approved loans for an amount greater than €300,000, you must have the financial statements of the last closed financial year audited externally.",enisa.es/es/financia-tu-empresa/lineas-de-financiacion/d/crecimiento
ENISA Empredendores,Spain,Loan,http://www.enisa.es/es/financiacion/info/lineas-enisa/emprendedores,300.0,"Requirements
Being an SME, according to the definition of the European Union.
Having its own legal personality, as a commercial company, independent from that of the partners or participants in the company.
The company must have been incorporated, at most, during the 24 months prior to the application.
Develop the main activity and have the registered office in the national territory.
The business model will be innovative, novel or with clear competitive advantages.
Co-finance the financial needs associated with the business project.
The own funds must be, at least, equivalent to the amount of the loan.
The business project must show a balanced financial structure and professionalism in management, showing technical and economic feasibility.
The accounts of the last closed financial year must be deposited in the Mercantile Registry or in another appropriate public registry.
The real estate and financial sectors are excluded.",enisa.es/es/financiacion/info/lineas-enisa/emprendedores
